County,FIPS Code,Fips
Alameda,6001,06001
Alpine,6003,06003
Amador,6005,06005
Butte,6007,06007
Calaveras,6009,06009
Colusa,6011,06011
Contra Costa,6013,06013
Del Norte,6015,06015
El Dorado,6017,06017
Fresno,6019,06019
Glenn,6021,06021
Humboldt,6023,06023
Imperial,6025,06025
Inyo,6027,06027
Kern,6029,06029
Kings,6031,06031
Lake,6033,06033
Lassen,6035,06035
Los Angeles,6037,06037
Madera,6039,06039
Marin,6041,06041
Mariposa,6043,06043
Mendocino,6045,06045
Merced,6047,06047
Modoc,6049,06049
Mono,6051,06051
Monterey,6053,06053
Napa,6055,06055
Nevada,6057,06057
Orange,6059,06059
Placer,6061,06061
Plumas,6063,06063
Riverside,6065,06065
Sacramento,6067,06067
San Benito,6069,06069
San Bernardino,6071,06071
San Diego,6073,06073
San Francisco,6075,06075
San Joaquin,6077,06077
San Luis Obispo,6079,06079
San Mateo,6081,06081
Santa Barbara,6083,06083
Santa Clara,6085,06085
Santa Cruz,6087,06087
Shasta,6089,06089
Sierra,6091,06091
Siskiyou,6093,06093
Solano,6095,06095
Sonoma,6097,06097
Stanislaus,6099,06099
Sutter,6101,06101
Tehama,6103,06103
Trinity,6105,06105
Tulare,6107,06107
Tuolumne,6109,06109
Ventura,6111,06111
Yolo,6113,06113
Yuba,6115,06115
